wnid,noun
n00104249,impulsion
n00104249,impetus
n00104409,roll
n00104409,bowl
n00104539,throw
n00104976,bowling
n00105164,fling
n00105271,heave
n00105271,heaving
n00105479,hurl
n00105479,cast
n00105624,leaner
n00105820,pass
n00105820,toss
n00105820,flip
n00106104,pitch
n00106272,pitch
n00106272,delivery
n00106726,ringer
n00106888,shy
n00107016,slinging
n00107137,throw-in
n00107279,balk
n00107400,ball
n00107551,beanball
n00107551,beaner
n00107684,change-up
n00107684,change-of-pace
n00107684,change-of-pace ball
n00107684,off-speed pitch
n00107875,curve
n00107875,curve ball
n00107875,breaking ball
n00107875,bender
n00108081,duster
n00108181,fastball
n00108181,heater
n00108181,smoke
n00108181,hummer
n00108181,bullet
n00108427,knuckleball
n00108427,knuckler
n00108545,overhand pitch
n00108665,passed ball
n00108818,screwball
n00108965,sinker
n00109081,slider
n00109227,spitball
n00109227,spitter
n00109414,strike
n00109771,submarine ball
n00109771,submarine pitch
n00109892,wild pitch
n00110057,basketball shot
n00110415,bank shot
n00110554,dunk
n00110554,dunk shot
n00110554,stuff shot
n00110745,slam dunk
n00110834,finger-roll
n00110964,foul shot
n00110964,free throw
n00110964,penalty free throw
n00110964,charity toss
n00110964,charity throw
n00110964,charity shot
n00111222,one-and-one
n00111358,hook shot
n00111358,hook
n00111503,jumper
n00111503,jump shot
n00111660,lay-up
n00111660,layup
n00111839,pivot shot
n00111962,set shot
n00112072,scoop shot
n00112185,tip in
n00112312,push
n00112312,pushing
n00112674,depression
n00112828,click
n00112828,mouse click
n00112997,nudge
n00112997,jog
n00113113,press
n00113113,pressure
n00113113,pressing
n00113532,impression
n00113726,shove
n00113954,bundling
n00114095,jostle
n00114095,jostling
n00114298,elbowing
n00114431,pull
n00114431,pulling
n00114871,drag
n00115036,draw
n00115036,haul
n00115036,haulage
n00115292,tow
n00115292,towage
n00115500,tug
n00115500,jerk
n00115667,draft
n00115667,draught
n00115667,drawing
n00115803,extirpation
n00115803,excision
n00115803,deracination
n00116008,pluck
n00116122,traction
n00116376,lift
n00116376,raise
n00116376,heave
n00116687,expulsion
n00116687,projection
n00116687,ejection
n00116687,forcing out
n00116989,defenestration
n00117124,accommodation reflex
n00117267,babinski
n00117267,babinski reflex
n00117267,babinski sign
n00117578,belch
n00117578,belching
n00117578,burp
n00117578,burping
n00117578,eructation
n00117810,belching
n00117959,blink
n00117959,eye blink
n00117959,blinking
n00117959,wink
n00117959,winking
n00117959,nictitation
n00117959,nictation
n00118268,blush
n00118268,flush
n00118445,coughing up
n00118552,spit
n00118552,spitting
n00118552,expectoration
n00118733,vomit
n00118733,vomiting
n00118733,emesis
n00118733,regurgitation
n00118733,disgorgement
n00118733,puking
n00119079,rumination
n00119210,hematemesis
n00119210,haematemesis
n00119297,hyperemesis
n00119402,hyperemesis gravidarum
n00119568,jump
n00119568,jumping
n00119893,header
n00120010,hop
n00120202,leap
n00120202,leaping
n00120202,spring
n00120202,saltation
n00120202,bound
n00120202,bounce
n00120515,vault
n00120515,hurdle
n00120647,jumping up and down
n00120804,lob
n00120943,centering
n00120943,snap
n00121166,sending
n00121366,transmission
n00121366,transmittal
n00121366,transmitting
n00121645,forwarding
n00121904,referral
n00122106,remission
n00122106,remitment
n00122106,remit
n00122338,mailing
n00122338,posting
n00122530,wheeling
n00122530,rolling
n00122661,shooting
n00122661,shot
n00122954,shoot
n00123143,countershot
n00123234,discharge
n00123234,firing
n00123234,firing off
n00123430,gun
n00123652,fire control
n00123783,gunfire
n00123783,gunshot
n00124008,enfilade
n00124008,enfilade fire
n00124151,snipe
n00124256,headshot
n00124342,skeet
n00124342,skeet shooting
n00124342,trapshooting
n00124536,shellfire
n00124617,gunfight
n00124617,gunplay
n00124617,shootout
n00124766,potshot
n00124880,contact
n00124880,physical contact
n00125126,rub
n00125126,wipe
n00125315,scuff
n00125436,tap
n00125436,pat
n00125436,dab
n00125629,hit
n00125629,hitting
n00125629,striking
n00126100,contusion
n00126236,crash
n00126236,smash
n00126447,impingement
n00126447,impaction
n00126584,batting
n00126721,fielding
n00126886,catching
n00127021,golfing
n00127151,pitching
n00127286,base on balls
n00127286,walk
n00127286,pass
n00127531,best
n00127672,worst
n00127866,fair ball
n00128091,foul ball
n00128324,snick
n00128477,bunt
n00128638,fly
n00128638,fly ball
n00128867,blast
n00128976,pop fly
n00128976,pop-fly
n00128976,pop-up
n00129089,grounder
n00129089,ground ball
n00129089,groundball
n00129089,hopper
n00129317,chop
n00129317,chopper
n00129435,roller
n00129527,out
n00129743,force out
n00129743,force-out
n00129743,force play
n00129743,force
n00130093,putout
n00130347,strikeout
n00130512,whiff
n00130673,fielder's choice
n00130846,sacrifice
n00130987,sacrifice fly
n00131090,base hit
n00131090,safety
n00131347,daisy cutter
n00131485,header
n00131608,liner
n00131608,line drive
n00131791,scorcher
n00131791,screamer
n00131877,line-drive single
n00131877,line single
n00131991,line-drive double
n00131991,line double
n00132105,line-drive triple
n00132105,line triple
n00132219,plunk
n00132219,plunker
n00132355,homer
n00132355,home run
n00132497,solo homer
n00132497,solo blast
n00132601,single
n00132601,bingle
n00132756,double
n00132756,two-base hit
n00132756,two-bagger
n00132756,two-baser
n00132982,triple
n00132982,three-base hit
n00132982,three-bagger
n00133160,backhander
n00133234,clip
n00133338,knock
n00133338,belt
n00133338,rap
n00133338,whack
n00133338,whang
n00133567,thwack
n00133668,smack
n00133668,smacking
n00133668,slap
n00133875,smacker
n00133981,knockdown
n00134099,knockout
n00134099,ko
n00134099,kayo
n00134246,technical knockout
n00134246,tko
n00134391,swat
n00134472,spank
n00134574,whip
n00134574,lash
n00134574,whiplash
n00134780,punch
n00134780,clout
n00134780,poke
n00134780,lick
n00134780,biff
n00134780,slug
n00135148,box
n00135311,dig
n00135311,jab
n00135504,counterpunch
n00135504,parry
n00135504,counter
n00135637,haymaker
n00135637,knockout punch
n00135637,ko punch
n00135637,sunday punch
n00135799,hook
n00135952,jab
n00136048,rabbit punch
n00136152,sucker punch
n00136230,roundhouse
n00136329,kick
n00136329,boot
n00136329,kicking
n00136691,goal-kick
n00136876,goal-kick
n00136984,punt
n00136984,punting
n00137279,place kick
n00137279,place-kicking
n00137534,free kick
n00137709,corner kick
n00137877,dropkick
n00138078,kiss
n00138221,kiss
n00138221,buss
n00138221,osculation
n00138441,laying on
n00138599,smack
n00138599,smooch
n00138734,smacker
n00138799,soul kiss
n00138799,deep kiss
n00138799,french kiss
n00138956,catch
n00138956,grab
n00138956,snatch
n00138956,snap
n00139544,fair catch
n00139758,interception
n00139919,reception
n00140112,rebound
n00140264,shoestring catch
n00140393,mesh
n00140393,meshing
n00140393,interlock
n00140393,interlocking
n00140652,handling
n00140652,manipulation
n00140900,fingering
n00141027,grope
n00141176,audit
n00141396,autopsy
n00141396,necropsy
n00141396,postmortem
n00141396,post-mortem
n00141396,pm
n00141396,postmortem examination
n00141396,post-mortem examination
n00141669,check-in
n00141806,check
n00141806,checkout
n00141806,check-out procedure
n00142140,spot check
n00142361,checkup
n00142361,medical checkup
n00142361,medical examination
n00142361,medical exam
n00142361,medical
n00142361,health check
n00142665,comparison
n00142665,comparing
n00143057,fine-tooth comb
n00143057,fine-toothed comb
n00143251,follow-up
n00143251,followup
n00143251,reexamination
n00143251,review
n00143536,going-over
n00143626,once-over
n00143626,look-over
n00143763,ophthalmoscopy
n00143885,palpation
n00143885,tactual exploration
n00144182,ballottement
n00144445,tickle
n00144445,tickling
n00144445,titillation
n00144632,stroke
n00144632,stroking
n00144778,caress
n00145024,tag
n00145218,joining
n00145218,connection
n00145218,connexion
n00145779,hit
n00145929,interconnection
n00146111,intersection
n00146277,approximation
n00146277,bringing close together
n00146443,concatenation
n00146572,convergence
n00146572,converging
n00146572,convergency
n00146856,merging
n00146856,meeting
n00146856,coming together
n00147091,concourse
n00147091,confluence
n00147187,encounter
n00147187,coming upon
n00147314,articulation
n00147454,junction
n00147454,adjunction
n00147595,fastening
n00147595,attachment
n00147862,loosening
n00147862,laxation
n00148057,tightening
n00148242,ligation
n00148446,tubal ligation
n00148653,bonding
n00148653,soldering
n00148762,doweling
n00148836,grounding
n00148836,earthing
n00148978,linkage
n00149084,tying
n00149084,ligature
n00149262,untying
n00149262,undoing
n00149262,unfastening
n00149508,welding
n00149699,butt welding
n00149699,butt-welding
n00149895,spot welding
n00149895,spot-welding
n00150097,flare
n00150228,texas leaguer
n00150379,flash welding
n00150379,flash butt welding
n00150591,lick
n00150591,lap
n00150762,grazing
n00150762,shaving
n00150762,skimming
n00150932,tracing
n00151087,detection
n00151087,catching
n00151087,espial
n00151087,spying
n00151087,spotting
n00151314,self-discovery
n00151409,breakthrough
n00151497,determination
n00151497,finding
n00151914,rediscovery
n00152018,designation
n00152018,identification
n00152230,bertillon system
n00152338,fingerprinting
n00152519,genetic profiling
n00152519,genetic fingerprinting
n00152727,diagnosis
n00152727,diagnosing
n00152990,blood typing
n00153105,medical diagnosis
n00153288,prenatal diagnosis
n00153499,differential diagnosis
n00153665,prognosis
n00153665,prospect
n00153665,medical prognosis
n00153809,resolution
n00153809,solving
n00153961,validation
n00153961,proof
n00153961,substantiation
n00154233,authentication
n00154233,certification
n00154433,documentation
n00154433,support
n00154689,monetization
n00154689,monetisation
n00154894,probate
n00155085,demonetization
n00155085,demonetisation
n00155298,falsification
n00155298,falsifying
n00155298,disproof
n00155298,refutation
n00155298,refutal
n00155487,localization
n00155487,localisation
n00155487,location
n00155487,locating
n00155487,fix
n00155797,echolocation
n00155797,echo sounding
n00155970,predetermination
n00156119,rectification
n00156293,redetermination
n00156390,trigger
n00156390,induction
n00156390,initiation
n00156625,fomentation
n00156625,instigation
n00156812,compulsion
n00156812,coercion
n00157081,influence
n00157318,cross-pollination
n00157463,exposure
n00157687,overexposure
n00157877,underexposure
n00157957,impingement
n00157957,encroachment
n00157957,impact
n00158185,manipulation
n00158185,use
n00158443,mind game
n00158805,autosuggestion
n00158805,auto-suggestion
n00158805,self-suggestion
n00158996,hypnotism
n00158996,mesmerism
n00158996,suggestion
n00159177,inducement
n00159177,inducing
n00159396,corruption
n00159620,enticement
n00159620,temptation
n00159899,blandishment
n00159899,wheedling
n00160073,ingratiation
n00160073,insinuation
n00160297,leading astray
n00160297,leading off
n00160415,seduction
n00160532,seduction
n00160532,conquest
n00160688,sexual conquest
n00160688,score
n00160922,cuckoldry
n00161044,solicitation
n00161044,allurement
n00161243,choice
n00161243,selection
n00161243,option
n00161243,pick
n00161603,casting
n00161739,coloration
n00161739,colouration
n00161888,sampling
n00162055,random sampling
n00162236,lucky dip
n00162417,stratified sampling
n00162417,representative sampling
n00162417,proportional sampling
n00162632,decision
n00162632,determination
n00162632,conclusion
n00163047,volition
n00163047,willing
n00163233,intention
n00163406,about-face
n00163406,volte-face
n00163406,reversal
n00163406,policy change
n00163630,adulteration
n00163779,appointment
n00163779,assignment
n00163779,designation
n00163779,naming
n00164152,nomination
n00164345,assignment
n00164345,assigning
n00164579,allocation
n00164579,storage allocation
n00164801,call
n00164999,co-option
n00164999,co-optation
n00165178,delegacy
n00165298,ordination
n00165298,ordinance
n00165563,recognition
n00165793,laying on of hands
n00165942,move
n00166172,move
n00166355,chess move
n00166552,castle
n00166552,castling
n00166702,capture
